"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Nikola Jokic","Den","C","29.7","4","39.1","29.3","12.7","27","0.778","62","0.581","20","0.55","0.64","0.671","31.5","12.3","9.3","1.3","1.3","3","43.8","40.8","53","15.7","134.9","108.8"
"","Tyrese Maxey","Phi","G","24","4","42","34.1","6.7","38","0.816","63","0.492","48","0.229","0.428","0.493","31.5","3.8","4.5","1.3","0.8","2","35.3","36","39.8","7.7","108.2","111.1"
"","Anthony Davis","Lal","F-C","31.6","5","35.9","31.6","10.2","59","0.763","89","0.573","8","0.25","0.557","0.622","30.6","12.2","3","1.6","2","2.2","42.8","33.6","45.8","11.6","124.7","111.9"
"","Jayson Tatum","Bos","F-G","26.7","5","35.4","31.1","7.9","35","0.743","44","0.636","61","0.377","0.595","0.627","30.2","7","5.2","2","0.6","1.8","37.2","35.4","42.4","11.7","129.9","104.6"
"","Anthony Edwards","Min","G","23.2","4","39.2","32.7","15.1","25","0.64","37","0.514","53","0.415","0.578","0.594","30","6.3","3.5","0.5","0.5","4","36.3","33.5","39.8","8.9","106.6","108.8"
"","Kevin Durant","Pho","F","36.1","4","40","28.9","14.7","32","0.813","53","0.566","22","0.455","0.6","0.651","29","7","3","1","1.8","3.3","36","32","39","8.5","114.4","107.2"
"","Paolo Banchero","Orl","F","22","5","36.4","31.4","10.2","59","0.644","65","0.569","32","0.344","0.552","0.59","29","8.8","5.6","0.6","0.8","2.2","37.8","34.6","43.4","12.4","122.1","105.4"
"","Giannis Antetokounmpo","Mil","F","29.9","4","34.7","34.1","19.3","49","0.551","68","0.647","3","0","0.62","0.621","28.8","11.8","6.3","0.3","0.5","4.3","40.5","35","46.8","14.9","114.8","107.1"
"","Jalen Green","Hou","G","22.7","4","34.5","31.4","8.3","24","0.833","42","0.452","46","0.413","0.54","0.583","28.8","3.8","2.8","0.8","0.3","2","32.5","31.5","35.3","7.8","120.7","110.7"
"","LaMelo Ball","Cha","G","23.2","4","33.9","34.3","21.8","25","0.92","34","0.5","48","0.396","0.555","0.613","28.5","6","7","1.3","0.5","5.8","34.5","35.5","41.5","12.5","117.1","109"
"","Trae Young","Atl","G","26.1","5","38.3","32","22.9","53","0.906","47","0.511","50","0.3","0.479","0.586","28.2","5.2","11.6","1.6","0.4","5.8","33.4","39.8","45","12.5","114.3","119"
"","Damian Lillard","Mil","G","34.3","4","35.4","29.9","16","39","0.923","29","0.69","39","0.308","0.559","0.658","28","6","6.3","0.5","0.3","3.3","34","34.3","40.3","11.5","127.3","116.1"
"","Cam Thomas","Bro","G","23","5","35.1","31.4","10.8","40","0.925","59","0.492","40","0.35","0.505","0.587","27.4","4.2","2.6","1.2","0","2.4","31.6","30","34.2","7.6","115","115.2"
"","Luka Doncic","Dal","F-G","25.7","4","37.3","34.5","10","30","0.8","58","0.431","41","0.268","0.419","0.477","26.8","9.3","7","1","0.8","2.8","36","33.8","43","12.9","105.5","103.7"
"","Norman Powell","Lac","G","31.4","4","34","26.7","6.3","15","0.867","39","0.59","35","0.429","0.615","0.645","26","3.3","1.5","0.5","0.5","1.3","29.3","27.5","30.8","5.9","125.5","108.2"
"","Shai Gilgeous-Alexander","Okc","G","26.3","4","32.3","33.1","5.3","21","0.905","56","0.518","33","0.273","0.478","0.529","26","7.5","6","2.5","1.5","1.3","33.5","32","39.5","13","115.2","90.2"
"","Jaylen Brown","Bos","G-F","28","5","35.9","33","9.7","37","0.784","72","0.444","39","0.308","0.45","0.507","25.8","7.4","3.6","1.6","0.4","2.4","33.2","29.4","36.8","9.8","107.4","107.5"
"","Cade Cunningham","Det","G","23.1","5","36.7","32.7","21.5","21","0.857","67","0.507","35","0.4","0.539","0.575","25.6","5.6","7.4","1","1.2","5.6","31.2","33","38.6","11.1","106.2","110"
"","RJ Barrett","Tor","F-G","24.4","2","31","32","11.3","12","0.583","27","0.481","12","0.5","0.564","0.576","25.5","4.5","5.5","1","0","2.5","30","31","35.5","11.1","116.5","112.4"
"","Dennis Schroder","Bro","G","31.1","5","35.4","24","15.7","23","0.87","37","0.541","38","0.553","0.687","0.723","24.6","2","8.2","0.8","0","2.8","26.6","32.8","34.8","8.3","136","115.1"
"","Domantas Sabonis","Sac","F-C","28.5","4","36.2","23","18.4","25","0.76","42","0.714","11","0.545","0.736","0.758","24.3","11","5.5","0.8","0.5","3","35.3","29.8","40.8","12.6","137.2","100.4"
"","Kyrie Irving","Dal","G","32.6","4","35.3","25.7","7.3","11","0.818","50","0.44","26","0.538","0.566","0.588","23.8","3.8","5.3","1.8","0.5","1.5","27.5","29","32.8","8.9","124.1","110.9"
"","Donovan Mitchell","Cle","G","28.1","5","30.2","32.3","14.2","18","0.722","48","0.604","42","0.381","0.589","0.608","23.8","2.6","5","2","0.2","3","26.4","28.8","31.4","9","114.1","104.5"
"","James Harden","Lac","G","35.2","4","36.3","34","24.7","35","0.857","39","0.436","37","0.27","0.421","0.514","23.5","7.5","11.3","1.3","0.3","6.3","31","34.8","42.3","13.9","103","100.4"
"","Julius Randle","Min","F-C","29.9","4","35","24.2","17.6","21","0.714","40","0.6","16","0.625","0.696","0.713","23.3","7.5","5","0.5","0","3","30.8","28.3","35.8","10.9","130.5","107"
"","DeMar DeRozan","Sac","G-F","35.2","4","36.9","23.1","9.3","31","0.839","51","0.588","7","0.286","0.569","0.642","23","4","4","2","0.3","1.5","27","27","31","7.8","128.7","110.6"
"","Zach LaVine","Chi","G","29.6","5","34.9","25","20.8","25","0.8","37","0.595","39","0.436","0.625","0.661","23","6.4","2.8","0.8","0.6","4","29.4","25.8","32.2","8.5","107.2","106.8"
"","Devin Booker","Pho","G","28","4","36","26.6","12.1","24","0.875","34","0.471","31","0.419","0.546","0.609","23","2.8","4.3","1","0.5","2.3","25.8","27.3","30","7.2","116.6","106.9"
"","Jalen Brunson","Nyk","G","28.2","4","32.1","32.6","8.5","22","0.818","57","0.456","18","0.389","0.487","0.537","22.8","2.8","5.8","0","0","1.8","25.5","28.5","31.3","8.9","116.6","120.6"
"","Karl-Anthony Towns","Nyk","C-F","29","4","31.8","24.2","8.6","21","0.952","42","0.548","11","0.727","0.66","0.723","22.5","11.3","2","0.5","0.5","1.3","33.8","24.5","35.8","10","144.5","105.9"
"","Jordan Poole","Was","G","25.4","4","30.4","26.2","17.7","14","1","25","0.32","35","0.571","0.633","0.68","22.5","1.5","6","3","0.3","3.3","24","28.5","30","7.7","123.7","112.2"
"","Chet Holmgren","Okc","C-F","22.5","4","31.4","26.4","17.1","23","0.696","40","0.7","18","0.333","0.638","0.661","22.5","11","2.8","1.5","3.5","3","33.5","25.3","36.3","11.3","118.6","85.6"
"","Brandon Ingram","Nor","F","27.2","5","32.4","27.2","12","11","0.909","59","0.559","29","0.414","0.58","0.603","22.4","6.4","4","0.8","0.4","2.4","28.8","26.4","32.8","10.3","116","110.2"
"","Tyler Herro","Mia","G","24.8","4","32.5","26.7","9.7","12","0.917","28","0.536","37","0.432","0.6","0.633","22.3","4.8","5.3","0.8","0.3","1.8","27","27.5","32.3","10.2","123.1","114.1"
"","De'Aaron Fox","Sac","G","26.9","4","36.1","27.4","16.8","16","0.938","45","0.556","24","0.292","0.514","0.565","21.5","4.5","7.5","1.5","0","3.5","26","29","33.5","10","110.2","104.1"
"","LeBron James","Lal","F","39.8","5","33.6","26.9","17.8","26","0.769","52","0.538","26","0.385","0.551","0.593","21.2","6.8","6.6","0.2","0.6","3.4","28","27.8","34.6","11.7","111.6","113.2"
"","Buddy Hield","Gol","G","31.9","5","24.1","28.9","6.1","6","1","29","0.483","48","0.5","0.649","0.665","21.2","3.6","2.6","1","0.4","1","24.8","23.8","27.4","9.7","131.6","98.8"
"","Jaden Ivey","Det","G","22.7","5","33.6","26.3","13","24","0.75","52","0.5","28","0.429","0.55","0.585","21.2","4.4","3.6","1.2","0","2.4","25.6","24.8","29.2","8.3","116.4","110"
"","Jaren Jackson Jr.","Mem","F-C","25.1","3","25.1","27.7","11.6","21","0.571","29","0.655","9","0.444","0.658","0.656","20.7","4.7","0.7","1.7","1","1.7","25.3","21.3","26","6.5","116","106.3"
"","Pascal Siakam","Ind","F","30.6","5","33.4","22.9","8.5","16","0.625","51","0.588","24","0.458","0.62","0.628","20.6","7.6","5.2","0.8","0.2","1.4","28.2","25.8","33.4","11.2","128.6","114.9"
"","Anfernee Simons","Por","G","25.4","5","33.9","27","15.8","26","0.923","43","0.465","42","0.31","0.465","0.534","20.6","1.6","5","0.8","0","3.2","22.2","25.6","27.2","6.5","106.4","116.9"
"","Tre Mann","Cha","G","23.7","4","28.5","27.9","12.1","12","1","37","0.459","28","0.429","0.538","0.583","20.5","3.8","3.3","1","0.5","2.3","24.3","23.8","27.5","8.9","122.5","114.5"
"","Nikola Vucevic","Chi","C","34","5","33.1","22.8","11.6","15","0.933","52","0.519","24","0.458","0.572","0.611","20.2","11","3.4","0.2","0.6","2","31.2","23.6","34.6","11","120.1","100.7"
"","Andrew Wiggins","Gol","F","29.7","3","25.2","24.6","6.9","5","0.8","21","0.524","19","0.579","0.688","0.699","19.7","6.7","2.3","0.3","1","1","26.3","22","28.7","10.7","137.5","94.3"
"","Scottie Barnes","Tor","F-G","23.2","4","33.6","26.7","20.2","23","0.739","52","0.519","11","0.182","0.476","0.527","19.3","7.8","6","2","0.5","4","27","25.3","33","11.5","105.1","113.9"
"","Derrick White","Bos","G","30.3","5","33.2","17.9","6.2","13","0.923","22","0.682","38","0.474","0.7","0.73","19.2","3.8","4","0.8","1","0.8","23","23.2","27","8","150.9","111.5"
"","Evan Mobley","Cle","C","23.4","5","29.1","25.5","14","18","0.889","59","0.576","8","0.5","0.597","0.641","19.2","8.2","2.2","1.2","2","2.2","27.4","21.4","29.6","9.7","119.4","96.6"
"","Kelly Oubre Jr.","Phi","F-G","28.9","4","34.6","25.4","10.6","19","0.737","45","0.489","22","0.273","0.463","0.504","19","4.8","1","1","0","2","23.8","20","24.8","5.2","102.3","107.8"
"","Ja Morant","Mem","G","25.2","4","26.4","33","22.9","30","0.833","39","0.538","18","0.167","0.447","0.541","19","3.8","8.3","0.3","0.3","4.3","22.8","27.3","31","12.8","106.4","113.2"
"","Coby White","Chi","G","24.7","5","33.7","23.1","13.6","17","0.765","29","0.586","47","0.34","0.539","0.569","19","4.4","4.4","1.4","0.2","2.4","23.4","23.4","27.8","8.5","107.1","105.4"
"","CJ McCollum","Nor","G","33.1","4","34.2","23.3","10.9","6","0.667","31","0.516","34","0.382","0.546","0.554","18.8","3.5","4","2.3","1","2","22.3","22.8","26.3","7.5","108.5","114.1"
"","Jamal Murray","Den","G","27.7","4","38","23","8.3","20","0.9","46","0.391","20","0.35","0.432","0.501","18.8","5","4.8","1.3","0","1.5","23.8","23.5","28.5","8.1","110.2","113"
"","Desmond Bane","Mem","G","26.4","5","26.5","26","11.1","12","0.917","40","0.55","32","0.406","0.576","0.608","18.8","5.4","2.8","1","0.6","1.8","24.2","21.6","27","9.9","115.7","109.2"
"","Gradey Dick","Tor","G-F","20.9","5","31","21.4","8.1","19","0.895","36","0.611","32","0.344","0.566","0.616","18.8","1.4","1.6","1","0.6","1.2","20.2","20.4","21.8","4.5","125.4","117.8"
"","Bilal Coulibaly","Was","G","20.3","4","34.1","18.3","18.4","18","0.833","25","0.72","19","0.421","0.682","0.722","18.8","5.8","2.8","1.5","0.3","2.5","24.5","21.5","27.3","7.9","128.6","116.1"
"","Jerami Grant","Por","F","30.6","5","33","25.6","12.5","18","0.778","42","0.405","42","0.357","0.47","0.506","18.6","4.8","1.8","1","1.8","2.4","23.4","20.4","25.2","6.6","99.4","110.1"
"","Terry Rozier","Mia","G","30.6","4","32.9","24.3","13.5","12","1","24","0.417","33","0.424","0.544","0.594","18.5","5","4.5","0.8","0.5","2.3","23.5","23","28","9.1","112.5","111.8"
"","Ivica Zubac","Lac","C","27.6","4","35.4","22.5","15.1","21","0.571","56","0.554","0","0","0.554","0.567","18.5","13.5","3.5","0.8","1","2.5","32","22","35.5","10.8","113","94.9"
"","Jeremy Sochan","San","F","21.4","4","32.2","25.8","14.2","18","0.722","55","0.527","5","0.2","0.508","0.545","18.5","9","3.3","0.8","0.3","2.5","27.5","21.8","30.8","10.2","110.5","103.3"
"","Stephen Curry","Gol","G","36.6","3","26.4","29.3","21","10","1","14","0.429","27","0.407","0.549","0.606","18.3","5.3","6.7","2","0.3","3.7","23.7","25","30.3","13.1","114.7","96.3"
"","Mikal Bridges","Nyk","G-F","28.2","4","37","19.8","8.2","7","0.571","31","0.677","25","0.36","0.616","0.618","18.3","2.5","4","1.3","0.8","1.3","20.8","22.3","24.8","6.1","128.1","117"
"","Zion Williamson","Nor","F","24.3","4","30.1","34.4","18.5","39","0.615","62","0.371","4","0.25","0.371","0.439","18.3","8.5","4.5","0.3","1.5","3.8","26.8","22.8","31.3","11.8","92.8","108"
"","Bradley Beal","Pho","G","31.3","3","36.4","19.9","11","7","0.857","21","0.571","19","0.421","0.6","0.627","18","2.3","4.7","1.7","1","1.7","20.3","22.7","25","6.4","118.3","106.4"
"","Lauri Markkanen","Uta","F-C","27.4","4","28.5","25","11.8","27","0.852","32","0.344","20","0.45","0.471","0.564","18","7.3","1.8","0.3","0","1.8","25.3","19.8","27","8.7","115.1","116.2"
"","De'Andre Hunter","Atl","F-G","26.9","2","29.5","20.7","0","13","0.923","14","0.429","10","0.4","0.5","0.606","18","6.5","2","1","0.5","0","24.5","20","26.5","8.4","136.1","106.1"
"","Jarrett Allen","Cle","C","26.5","5","28.9","17.5","8.4","26","0.808","43","0.791","0","0","0.791","0.817","17.8","11","1.2","0.8","1.8","0.8","28.8","19","30","8.5","161.1","103.9"
"","Darius Garland","Cle","G","24.8","5","26.9","26.8","17.2","6","1","34","0.559","33","0.455","0.619","0.639","17.8","1.6","6","1.4","0.4","2.8","19.4","23.8","25.4","8.3","118.2","101.4"
"","Franz Wagner","Orl","F","23.2","5","26","25.9","12.3","13","0.923","36","0.611","28","0.393","0.602","0.638","17.8","4.2","3.4","1.4","0.4","1.8","22","21.2","25.4","9.7","121.5","103.9"
"","Kyle Kuzma","Was","F","29.3","3","30.8","28.8","11.8","16","0.75","34","0.353","18","0.278","0.375","0.432","17","7","3.7","0.3","0.3","2.3","24","20.7","27.7","9.9","93.9","120.7"
"","Jalen Williams","Okc","G-F","23.5","4","31.4","27.1","10.5","14","0.571","50","0.48","18","0.222","0.441","0.458","17","7","6","1.5","0.8","2","24","23","30","11.4","99.5","88.1"
"","Jimmy Butler","Mia","F","35.1","4","33.5","21.4","12.2","34","0.706","35","0.571","8","0.125","0.5","0.578","16.8","5","6","2.3","0.5","1.5","21.8","22.8","27.8","9.5","128.1","113.2"
"","Jalen Johnson","Atl","F","22.9","5","37.3","23.2","19.3","29","0.621","57","0.474","18","0.222","0.44","0.479","16.8","11","4","1.8","1","3.6","27.8","20.8","31.8","9.7","94.9","110.5"
"","Austin Reaves","Lal","G","26.4","5","34.4","19.6","20.2","12","0.75","30","0.6","29","0.448","0.636","0.653","16.8","6","4.8","1.2","0.4","3","22.8","21.6","27.6","9.1","116.5","110.3"
"","Jalen Suggs","Orl","G","23.4","5","27","24.8","16.6","14","0.929","20","0.5","40","0.425","0.592","0.635","16.8","5","4","2.2","0.8","2.4","21.8","20.8","25.8","10.3","115.5","101"
"","Klay Thompson","Dal","G","34.7","4","29.3","19.4","3.7","3","1","11","0.545","40","0.425","0.618","0.631","16.5","3.5","1.3","1.3","0","0.5","20","17.8","21.3","5.8","129.1","113.2"
"","Victor Wembanyama","San","F-C","20.8","4","30.3","27.4","21.6","20","0.9","33","0.545","21","0.19","0.444","0.525","16.5","11","2.3","0","2.8","3.8","27.5","18.8","29.8","9.9","98.4","106"
"","Payton Pritchard","Bos","G","26.8","5","27.7","19.5","6.5","6","1","8","0.375","49","0.469","0.658","0.679","16.2","3.2","2.6","0.8","0","0.8","19.4","18.8","22","7.4","138.9","111.8"
"","Jordan Hawkins","Nor","G","22.5","5","31.1","20.5","11.5","15","0.933","29","0.483","32","0.406","0.549","0.599","16.2","5","1.2","0.2","0.2","1.6","21.2","17.4","22.4","5.9","113.6","114.7"
"","Bennedict Mathurin","Ind","G-F","22.4","5","25.8","22.4","18.1","28","0.786","27","0.667","18","0.389","0.633","0.689","15.8","4.6","1.6","0.2","0","2","20.4","17.4","22","7.6","122","113.5"
"","Rui Hachimura","Lal","F","26.7","5","34.2","18.2","5.9","15","0.8","49","0.429","14","0.571","0.524","0.56","15.6","7.2","2","0.8","0.4","0.8","22.8","17.6","24.8","7.1","121.3","113.5"
"","Scoot Henderson","Por","G","20.7","5","27.8","25.2","21.2","25","0.84","42","0.5","17","0.294","0.483","0.557","15.6","3.4","5.6","0.8","0","3.2","19","21.2","24.6","9.6","108.3","105"
"","Jordan Clarkson","Uta","G","32.4","4","25.3","27.3","13","18","0.722","31","0.548","22","0.227","0.462","0.509","15.5","4","4","0","0.3","2","19.5","19.5","23.5","9.9","105","115"
"","Aaron Gordon","Den","F","29.1","4","36","17.5","16.2","21","0.857","31","0.516","10","0.4","0.537","0.617","15.5","7.5","3.5","1","0.5","2","23","19","26.5","8.2","124.8","112.8"
"","Josh Giddey","Chi","G","22.1","5","28.1","22.1","16.4","21","0.619","39","0.436","17","0.588","0.571","0.59","15.4","8.4","5.8","0.4","0.2","2.2","23.8","21.2","29.6","12.9","117.8","105.6"
"","Myles Turner","Ind","C-F","28.6","4","30.6","22.9","22.7","19","0.632","25","0.6","19","0.316","0.545","0.573","15","6.3","1.8","1","2","3.3","21.3","16.8","23","7.2","94.8","103.1"
"","Miles Bridges","Cha","F","26.6","4","30.4","22.1","13","14","0.857","29","0.517","24","0.25","0.453","0.507","15","6.5","1.5","0.3","1","2","21.5","16.5","23","6.9","106","118.4"
"","Fred VanVleet","Hou","G","30.7","4","37","17.1","7","12","0.75","15","0.267","38","0.368","0.472","0.506","14.8","3","6.3","2","0","1","17.8","21","24","7.1","121.8","106.8"
"","John Collins","Uta","F-C","27.1","4","21.1","31.1","14.9","12","1","35","0.457","16","0.313","0.461","0.524","14.8","6.3","1.8","1","1","2.3","21","16.5","22.8","10.5","102.6","98.6"
"","Alperen Sengun","Hou","C","22.3","4","28.5","26.1","13.6","16","0.688","49","0.367","8","0.5","0.421","0.461","14.8","12.5","3.5","2","0.5","2.3","27.3","18.3","30.8","12.1","104.5","90.5"
"","Cameron Johnson","Bro","F","28.7","5","34.2","17","4.7","11","0.818","17","0.471","43","0.372","0.533","0.563","14.6","4.2","2.8","0.8","0.6","0.6","18.8","17.4","21.6","6.5","119.1","113.8"
"","Tyrese Haliburton","Ind","G","24.7","5","34.6","22.9","10.3","12","0.667","34","0.471","44","0.25","0.417","0.438","14.6","5","6.6","1.4","0.6","1.8","19.6","21.2","26.2","9.1","100.5","114.7"
"","Josh Hart","Nyk","G","29.7","4","35.3","17.5","19","16","0.813","20","0.75","18","0.278","0.592","0.644","14.5","10.3","3.5","1.3","0","2.3","24.8","18","28.3","9.1","125.3","115.2"
"","Deandre Ayton","Por","C","26.3","5","32.5","18.6","8.2","3","0.667","61","0.525","6","0.333","0.522","0.527","14.4","12.2","1.2","0.6","0.8","1.2","26.6","15.6","27.8","7.3","110","105.5"
"","Jonas Valanciunas","Was","C","32.5","4","22.1","23.6","21.1","11","0.909","35","0.629","2","0.5","0.635","0.681","14.3","7.5","3","0.3","0","2.5","21.8","17.3","24.8","12.4","121.9","117.5"
